DNO;DNAME;DSNAME;DADD1;DADD2;DADD3;DPCODE;DTEL;TEL2;DFAX;EMAIL;DELAD1;DELAD2;DELAD3;DELAD4;DCONTACT;DTAXNO;DAREA;DBALBFWD;DCRNT;D30;D60;D90;D120;D150;D180;DSALESM;DSALESY;DPROFITM;DPROFITY;DAMTLPD;DDATLPD;DDISCPER;DCLIMIT;DINTFLAG;PRICE;ACCTYPE;TERMS;PDISC;DISCPRN;DPOSBAL;BLOCKFLAG;DATEOPENED;VATREF;NOTES
42;MANGANI WAMI (PTY)LTD T/A WATSON MOTORS;WATSO;UNIT 2B NORTH PARK;2 NORTH STREET;PIETERMARITZBURG;3201;033-3455108;;;admin@watsonmotors.co.za;;;;;MITHESH;;1;3690.04;0.0;0.0;600.0;1120.02;0.0;0.0;0.0;0.0;5017.43;0.0;4081.35;1970.02;2026/02/05;0.0;15000.0;N;1;;30;0.0;N;N;2;2021/06/30;N/A;
91;BLOMEYERS ELECTRICAL;BLOM;POSTNET SUITE 88;PRIVATE BAG X9118;PIETERMARITZBURG;3200;3924250;;3940991;zinhlen@blomeyers.com;240 VICTORIA ROAD;P.M.BURG;;;ZINHLE;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;510.01;2025/02/21;0.0;20000.0;N;1;;30;2.5;N;N;3;;4210189090;
123;CANADIAN CAR SALES;CANAD;90 ROSEDALE ROAD;MOUNTAIN RISE;PIETERMARITZBURG;3201;844412786;0844412786 SHIR;0844413786 MAH;sessa7861@gmail.com;;;;;MOHAMMED;;1;2500.01;0.0;2500.01;0.0;0.0;0.0;0.0;0.0;0.0;4818.41;0.0;1884.15;243.76;2025/09/08;0.0;20000.0;N;1;;30;0.0;N;N;3;;;
191;CREIGHTON FARMERS AGENCY [PTY] LTD;CREIG;P O BOX 12;CREIGHTON;3263;;039-8331036;;039-8331172;cfa@futurenet.co.za;;;;;ELISE/ALISON;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5643.48;0.0;2423.48;6490.0;2025/07/28;0.0;5000.0;N;1;;30;0.0;N;N;3;;4090102718;
294;ABSA VEHICLE MANAGEMENT SOLUTIONS[PTY]LT;ABSA;ACC:4059751674 BR:331155;PO BOX 785800;SANDTON;2146;011-6859737;AUTH 0116859700;866155296;sam.hiq@sai.co.za;;;;SUPPLIER CODE: 23909;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;350.0;0.0;296.64;402.5;2025/12/05;0.0;50000.0;N;1;;30;2.5;N;N;3;;4820146381;
347;GOVENDERS GARAGE [PTY]LTD;GOVEN;PO BOX 7829;CUMBERWOOD;3235;;3420415/3940930;;;jgovender@lantic.net;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;0.0;N;N;3;;4080236971;
383;HOLTS MOTORS;HOLTS;P.O. BOX 3010;PIETERMARITZBURG;3200;;832798092;;;holts2008@gmail.com;;;;;AMANDA;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1895.66;0.0;896.36;2180.01;2025/11/05;0.0;5000.0;N;1;;30;0.0;N;N;2;;;
558;NATAL ASSOCIATED AGENCIES;NATAL;183 PIETERMARITZ STREET;PIETERMARITZBURG;3200;3200;033-3941233;;033-3452005;naa@telkomsa.net;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;2.5;N;N;1;;4540318260;
614;MCCARTHY TOYOTA;MCCAR;P O BOX 3186;PRETORIA;1;;8978100;012-3345500;943467;veronicas@mcmotor.co.za;INV TO PMB FOR AUTH;P.O.BOX 406 PMB 3200;;;;ROCHELLE;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11650.02;2023/06/05;0.0;100000.0;N;1;;30;2.5;N;N;1;;4330165889;
666;ENX CORPORATION T/A;EQSTR;EQSTRA FLEET MANAGEMENT;P BAG X10017;EDENVALE;1610;011-4587555;;866155296;;AUTH-011-4587600;PUT ORDER NUMBER AND;CASE NO ON ALL INVOICES;MERCH NO 6938;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8398.54;2022/06/11;0.0;100000.0;N;1;;30;2.5;N;N;3;;4460246962;
827;NMI DURBAN SOUTH MOTORS [PTY]LTD;GARDE;T/A GARDEN CITY COMMERCIA;P O BOX 116;PIETERMARITZBURG;3200;033-3975600 (SP;;033-3979778;melisha.pillay@nmidsm.co.za;ONLY USE FOR O/N STARTING;WITH 15C..........;;;VALLAN;ACC 5341;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;2.5;N;N;3;;4430203143;
69;BARONS PIETERMARITZBURG;BARON;P.O.BOX 787;PIETERMARITZBURG;3200;;033 - 8453100;;033 - 8453134;umash.singh@baronsvw.co.za;ARMITAGE ROAD;BIRD SANTUARY;;;45 DAYS / JERRY;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2070.0;2019/06/29;0.0;20000.0;N;1;;30;2.5;N;N;3;;4570122012;
706;ROGLO PANELBEATERS;ROGLO;29 NORTH STREET;PIETERMARITZBURG;3201;;033-3422769;033-3454651;;roglocc@telkomsa.net;;;;;TONY;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7280.05;2023/04/17;0.0;5000.0;N;1;;30;2.5;N;N;2;;;
781;STEEL AND PIPE;STEEL;PO BOX 11042;DORPSPRUIT;3206;;3949567;;;info@steelandpipetrading.co.za;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;N;1;;0;0.0;N;N;3;;;
