CODE;DESCRIP;SUPNO;DEPT;TAXIND;CPRICE;AVECOST;SPRICE;SPRICE1;SPRICE2;MUP;MUP1;MUP2;REORD;QOH;QSOLDM;QSOLDY;VSOLDM;VSOLDY;GPM;GPY;QTYBYSTOCK;SCOUNTFLAG;CLOSTOCK;DATELSOLD;DATELPURCH;LASTSUP;SPECSTDATE;SPECENDATE;SPPRICE1;SPPRICE2;SPPRICE3;BFWDQTY;BFWDVAL;QTYSORD;QTYPORD;QTYPURCHM;QTYPURCHY;NEWPR;NEWPR1;NEWPR2;NEWPRDATE;SELLQTY;SUPCODE;MAXDISC;WEIGHT;ALLOWNEGSL;BIN;JCBFWDVAL;LBBFWDVAL;RFBFWDVAL;PACK;KVI
R10446002D1;155/80 12 D/L SP22 R;9;21;1;679.15;275.18;585.0;585.0;0.0;-13.86;-13.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;2011/05/16;2011/04/20;9;1960/01/01;1960/01/01;585.0;585.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;;0.0;0.0;Y;0;0.0;0.0;0.0;;
I10421003;155/80 12 D/L ISR R;9;21;1;590.45;215.0;585.0;585.0;0.0;-0.92;-0.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;2009/07/20;2009/08/20;9;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;I10421003;0.0;0.0;Y;0;0.0;0.0;0.0;;
R11342001D1;155/80 12 D/L SP22 06) COMM;9;23;1;708.38;453.19;797.0;797.0;300.0;12.51;12.51;-57.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;2018/01/18;2018/01/19;38;1960/01/01;1960/01/01;858.0;858.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;;0.0;0.0;Y;0;0.0;0.0;0.0;;
R10415019R1;155/80 13 D/L RST-220 R;9;21;1;564.65;231.0;669.0;669.0;0.0;18.48;18.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;2011/04/30;2011/04/30;9;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;D10415019;0.0;0.0;Y;0;0.0;0.0;0.0;;
R10424001D1;155/80 13 D/L SPT 5050;9;21;1;537.93;223.28;695.0;695.0;0.0;29.2;29.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;2012/04/14;2011/12/29;9;1960/01/01;1960/01/01;392.0;392.0;180.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;;0.0;0.0;Y;0;0.0;0.0;0.0;;
R12645022D1;1600     25 DUN 36PR L4 PG7;9;31;1;0.0;0.0;46377.0;46377.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;9;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;D12642022;0.0;0.0;Y;0;0.0;0.0;0.0;;
G13291048DZ;16.9/14 28 D/L T109 6PR;9;26;1;0.0;0.0;6900.0;6900.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;9;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;D13291048;0.0;0.0;Y;0;0.0;0.0;0.0;;
G13291047DZ;16.9/14 28 D/L T109 8PR;9;26;1;0.0;0.0;7450.0;7450.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;9;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;D13291047;0.0;0.0;Y;0;0.0;0.0;0.0;;
G13291058DZ;16.9/14-28 D/L T109 10PR;9;26;1;0.0;0.0;8050.0;8050.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;9;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;D13291058;0.0;0.0;Y;0;0.0;0.0;0.0;;
G13291049DZ;16.9/14 30 D/L T104 6PR;9;26;1;0.0;0.0;8500.0;8500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;9;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;D13291049;0.0;0.0;Y;0;0.0;0.0;0.0;;
G13291054DZ;16.9/14 30 D/L T1048PR;9;26;1;0.0;0.0;8500.0;8500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;9;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;D13291054;0.0;0.0;Y;0;0.0;0.0;0.0;;
R10415018R1;165/80 13 D/L RST-220 R;9;21;1;570.14;422.24;720.0;720.0;0.0;26.28;26.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;2020/11/02;2020/11/02;38;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;D10415018;0.0;0.0;Y;0;0.0;0.0;0.0;;
D11319006;165/80 13 D/L TYFOON 95;9;23;1;756.77;280.8;683.0;683.0;0.0;-9.75;-9.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;2011/03/10;2011/03/10;68;1960/01/01;1960/01/01;683.0;683.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;;0.0;0.0;Y;0;0.0;0.0;0.0;;
Y10519023R1;175/65 14 D/L RSH-230 TL R;9;21;1;744.35;319.73;835.0;835.0;0.0;12.18;12.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;2012/02/14;2012/02/10;9;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;D10519023;0.0;0.0;Y;0;0.0;0.0;0.0;;
R10545001D1;175/65 14 D/L SPT 600 R;9;21;1;831.6;321.0;835.0;835.0;0.0;0.41;0.41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;2011/01/25;2010/12/14;9;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;D10545001;0.0;0.0;Y;0;0.0;0.0;0.0;;
R10415010R1;175/65 14 D/L RST-220 R;9;21;1;836.0;359.11;788.0;788.0;0.0;-5.74;-5.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;2012/04/26;2012/04/26;9;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;D10415010;0.0;0.0;Y;0;0.0;0.0;0.0;;
R10424004D1;175/65 14 D/L SPT 5050;9;21;1;831.6;324.0;835.0;835.0;0.0;0.41;0.41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;2010/11/16;2010/11/03;9;1960/01/01;1960/01/01;942.0;942.0;268.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;;0.0;0.0;Y;0;0.0;0.0;0.0;;
R10415015R1;175/70 13 D/L RST-220 R;9;21;1;697.91;287.73;786.0;786.0;0.0;12.62;12.62;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;2011/11/15;2011/09/01;9;1960/01/01;1960/01/01;745.0;745.0;201.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;;0.0;0.0;Y;0;0.0;0.0;0.0;;
R10424003D1;175/70 13 D/L SPT 5050;9;21;1;737.35;280.1;760.0;760.0;0.0;3.07;3.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;2011/05/06;2011/05/05;9;1960/01/01;1960/01/01;784.0;784.0;231.59;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;;0.0;0.0;Y;0;0.0;0.0;0.0;;
