SUPNO;SUPNAME;SUPADD1;SUPADD2;SUPADD3;SUPPADD1;SUPPADD2;SUPPADD3;SUPTEL;SUPFAX;EMAIL;SUPCONT;SUPOURACC;SUPTERMS;SUPDISC;SUPBALBFWD;SUPCRNT;SUP30;SUP60;SUP90;SUP120;SUP150;SUPPMT;SUPPMTDATE;SUPURCHMTD;SUPURCHYTD;BANK;BANKCODE;BANKACC;UPDSTKSP;ACCTYPE
1;SA TYRE DISTRIBUTORS;;;;;;;;;;;;30;0.0;320619.35;0.0;0.0;0.0;0.0;0.0;320619.35;0.0;;0.0;0.0;FNB;255005;62009495153;N;
2;ACCESSORIES SPARES CENTRE CC;54 BAY TERRACE;DURBAN;4001;P.O.BOX 3093;DURBAN;4000;031-5818400;031-5818440;;JENNY : 031-5818413;100909;30;2.5;1684.96;0.0;0.0;0.0;0.0;0.0;1684.96;0.0;;0.0;0.0;;;;Y;
3;A-LINE WHEELS DURBAN;UNIT 3C MOTOWN CENTRE;190 OLD FORT RD;DURBAN;A/C'S:011-6347668;AC'S:011-4933131;IVY;031-3051072/3/5;031-3051076;;011-4933600;N8893;30;2.5;580937.87;0.0;0.0;0.0;0.0;697.5;580240.37;0.0;;0.0;3547.52;;;;Y;
7;FALCON TYRES;;;;;;;;;;;;30;2.5;294438.51;0.0;0.0;0.0;0.0;0.0;294438.51;0.0;;0.0;13599.99;;;;Y;
8;MSUNDUZI MUNICIPALITY;333 CHURCH STREET;PIETERMARITZBURG;3201;P.O.BOX 261;PIETERMARITZBURG;3200;033-3951111;033-3951517;;;;0;0.0;1978423.36;0.0;17339.08;16635.99;16977.68;15181.49;1912289.12;0.0;;0.0;172286.93;;;;N;
9;DUNLOP TYRES;P.O.BOX 1029;ISANDO;1600;DBN : 031-2421501;DBN : 031-2421506;;H/O:011-4183011;H/O:011-4183093;;;600284;30;2.5;5335939.95;0.0;0.0;0.0;0.0;0.0;5335939.95;0.0;;0.0;3544.88;STD;40126;50469010;N;
10;DATCENTRE / CHM PMB;BIRD SANTUARY;PIETERMARITZBURG;3201;P.O. BOX 529;PIETERMARITZBURG;3200;033-8977400;033-8977444;;;70320031;30;2.5;1957.67;0.0;0.0;0.0;0.0;0.0;1957.67;0.0;;0.0;0.0;;;;Y;
12;BRIDGESTONE FIRESTONE;DBN : 031-4698700;DBN : 031-4690107;;P.O.BOX 7036;JOHANNESBURG;2000;011-9237555/627;086-6041653;;;TNT - 89203;30;2.5;23121616.38;0.0;18025.88;22148.72;0.0;18436.75;23063005.03;0.0;;0.0;108626.07;STD ISANDO;12542;20125879;N;
14;CONTINENTAL TYRES SA;POSTNET SUITE 341;PRIVATE BAG X2020;ISANDO        1600;DBN:031-9123425;DBN:031-9121157;ELIZE:0836569175;011-5658200;011-9747952;harry mathews;JOHANITA KOTZE;7272726;30;4.0;33538386.92;47697.75;91780.81;141010.2;28169.66;61791.45;33215634.8;0.0;;47697.75;1153449.23;;;;N;
17;GOODYEAR SOUTH AFRICA;H/O : 011-3456742;H/O : 011-4556350;;DBN TEL. 031-7009021;DBN FAX  031-7009018;;H/O 041-9946359;H/O 086-5118322;;;248232 [HI-Q];30;2.5;10646396.4;0.0;0.0;0.0;0.0;2149.95;10644246.45;0.0;;0.0;75093.16;FNB PROSPE;223126;62019600429;N;
25;G4S CASH SOLUTIONS - PMB;P.O.BOX 615;PIETERMARITZBURG;3200;REFERENCE NO.6334;;;033-3863388;033-3864126;;;412693;30;0.0;42969.79;0.0;0.0;0.0;0.0;0.0;42969.79;0.0;;0.0;0.0;;;;Y;
27;DEKADE PAINTS / NAA;;;;;;;;;;;;30;2.5;10440.29;0.0;0.0;0.0;0.0;0.0;10440.29;0.0;;0.0;0.0;;;;Y;
28;THE NATAL WITNESS (ADVERTISING;P.O.BOX 362;PIETERMARITZBURG;3200;CLASSIFIED:551155 (T;ACCOUNTS  :551144 (T;GENERAL   :551111 (T;033-3551111;033-3551177 CLA;;MAJORIE;RE0159548;30;0.0;32498.76;0.0;0.0;0.0;0.0;0.0;32498.76;0.0;;0.0;0.0;;;;Y;
30;LOTUS STATIONERS;;;;;;;;;;;;30;0.0;33356.8;0.0;0.0;0.0;0.0;0.0;33356.8;0.0;;0.0;0.0;;;;Y;
31;AUTOZONE PIETERMARITZBURG;205 GREYLING STREET;PIETERMARITZBURG;3201;P.O.BOX 11135;DORPSPRUIT;3206;033-3924500;033-3941788;;ANCILA;5238;30;2.5;101846.66;0.0;744.99;392.0;78.2;287.65;100343.82;0.0;;0.0;6067.05;;;;Y;
32;PIRELLI TYRE (PTY) LTD;400 16TH ROAD;CENTRAL PARK;BLOCK E , MIDRAND;P.O.BOX 6463;HALFWAY HOUSE , 1685;C/CENTRE:011-5414270;011-8058104/5/6;011-3882703;;LYNETTE:0846517842;2400111;30;2.5;988446.98;0.0;0.0;8363.49;0.0;5454.73;974628.76;0.0;;0.0;13818.22;FNB CARLSW;250117;62014614350;Y;
33;TELKOM SA LIMITED;;;;;;;;;;;;0;0.0;398425.99;0.0;0.0;0.0;0.0;0.0;398425.99;0.0;;0.0;6512.65;;;;Y;
36;ZZZ BRIDGESTONE COMMERCIAL;;;;;;;033-3872000;011-3872500;;;;30;2.5;107117.32;0.0;0.0;0.0;0.0;0.0;107117.32;0.0;;0.0;0.0;;;;Y;
37;SPEDDICK MOTORCYCLE TYRES;;;;P.O.BOX 2884;DURBAN;4000;031-5792260;031  5791120;;;T42200;30;2.5;33709.35;0.0;0.0;0.0;0.0;0.0;33709.35;0.0;;0.0;3207.12;;;;Y;
39;TIGER WHEEL & TYRE (P.M.BURG);109 COMMERCIAL ROAD;PIETERMARITZBURG;3201;109 COMMERCIAL ROAD;PIETERMARITZBURG;3201;3450069;3420575;;;500156;30;2.5;220768.18;0.0;639.4;0.0;0.0;170.0;219958.78;0.0;;0.0;1149.4;;;;Y;B
41;TRENTYRE PIETERMARITZBURG;;;;P.O.BOX 209;PIETERMARITZBURG;3200;033-3868319;033-3866472;;PADDY;;30;2.5;65818.09;0.0;0.0;0.0;0.0;0.0;65818.09;0.0;;0.0;0.0;;;;Y;
42;MICHELIN TYRE COMPANY SA;P.O.BOX 803;ISANDO;1600;;;;011-5790356;086-6345580;;ISHTIAQ;21198;30;2.5;2932670.13;0.0;0.0;0.0;0.0;0.0;2932670.13;57060.98;2015/03/31;0.0;10379.33;;;;Y;
44;BARONS VOLKSWAY;ARMITAGE ROAD;BIRD SANCTUARY;PIETERMARITZBURG;P.O.BOX 787;PIETERMARITZURG;3200;033-8453100;033-8453134;;;4015;30;0.0;32121.42;0.0;0.0;0.0;1412.78;0.0;30708.64;0.0;;0.0;4649.87;;;;Y;
100;PETTY CASH;;;;;;;;;;;;0;0.0;3070198.42;1218.35;7460.31;10829.46;7043.16;4141.55;3040723.94;0.0;;1218.35;113220.34;;;;Y;B
49;CHUBB-NATIONAL SECURITY;342B BOOM STREET;PIETERMARITZBURG;3201;P.O.BOX 2171;PIETERMARITZBURG;3200;033-3924000;033-3945336;;;P006005;0;0.0;70556.89;0.0;0.0;0.0;0.0;0.0;70556.89;0.0;;0.0;0.0;;;;N;
51;DUZI COMPUTER FORMS;;;;P.O.BOX 1100;PIETERMARITZBURG;3200;3868566;3868598;;VANI;;30;2.5;55246.0;0.0;0.0;0.0;0.0;0.0;55246.0;0.0;;0.0;0.0;;;;Y;
55;BARLOWORLD ARMSTRONG;CHATTERTON ROAD;PIETERMARITZBURG;3201;P.O.BOX 212;PIETERMARITZBURG;3200;033-3924431;033-3924480;;DARYLIN;9288;30;2.5;21173.6;0.0;0.0;0.0;0.0;0.0;21173.6;0.0;;0.0;0.0;;;;Y;
57;GARDEN CITY MOTORS;ARMITAGE ROAD;P.M.BURG;P.M.BURG;P.O.BOX 116;P.M.BURG;3200;033-3975300;033-3426779;;;152T0010;30;0.0;107270.87;0.0;0.0;0.0;0.0;0.0;107270.87;0.0;;0.0;28960.87;;;;Y;
63;GRAND PRIX AUTO ELECTRICAL;333 BERG STREET;PIETERMARITZBURG;3201;333 BERG STREET;PIETERMARITZBURG;3201;033-3941861;;;LINDA;;30;0.0;8674.7;0.0;0.0;0.0;0.0;0.0;8674.7;0.0;;0.0;0.0;;;;Y;
101;SUPER TYRES [PTY] LTD;;;;;;;031-3374521;031-3325660;;;T19;30;2.5;1207029.9;0.0;0.0;0.0;0.0;0.0;1207029.9;0.0;;0.0;0.0;;;;Y;
151;SYCO MACHINERY (PTY) LTD;222 BRICKFIELD ROAD;MAYVILLE;DURBAN;P.O.BOX 10734;MARINE PARADE;4056;031-7006275;031-7006269;;;16440;30;0.0;5249.41;0.0;0.0;0.0;0.0;0.0;5249.41;0.0;;0.0;0.0;;;;Y;
176;ACCPICK - INDEPENDENT SYSTEMS;P.O.BOX 1187;HILTON;3245;;;;033-3436000;033-3436001;;;;30;0.0;59893.83;0.0;0.0;0.0;0.0;0.0;59893.83;0.0;;0.0;0.0;;;;Y;
84;KEY DELTA;CNR CHAPEL & VICTORIA RD;P.M.BURG;3201;P.O.BOX 1681;P.M.BURG;3200;033 - 3452542;033 - 3943199;;RUTH;70326;30;2.5;7959.34;0.0;0.0;461.28;0.0;0.0;7498.06;0.0;;0.0;461.28;;;;Y;B
86;MIDLANDS ENGINEERING SUPPLIERS;301 GREYLING STREET;PETERMARITZBURG;3201;P.O.BOX 1061;PIETERMARITZBURG;3200;3454510;;;;525;30;2.5;2130.28;0.0;0.0;0.0;0.0;0.0;2130.28;0.0;;0.0;0.0;;;;Y;
98;AUTO SPARES CENTRE  (PMB);319 BERG STREET;PIETERMARITZBURG;3201;;;;033-3427341;033-3427010;;;P5312;30;2.5;1491497.14;0.0;867.49;434.16;1080.46;553.78;1488561.25;0.0;;0.0;11591.22;;;;Y;
104;SMG PIETERMARITZBURG;9 ARMITAGE ROAD;BIRD SANCTUARY;PIETERMARITZBURG   3201;P.O.BOX 84;MSUNDUZI;3231;033-8978800;033-394441;;;;30;0.0;64950.42;0.0;0.0;0.0;0.0;0.0;64950.42;0.0;;0.0;0.0;;;;Y;
119;GAYDONS MIDAS PMB;306 VICTORIA ROAD;PIETERMARITZBURG;3201;P.O.BOX 112;PIETERMARITZBURG;3200;033-3453401;033-3422176;;;504G6430;30;2.5;96120.34;1432.31;4931.82;6097.01;82.89;2067.55;82941.07;0.0;;1432.31;30177.14;;;;Y;
